NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;NAT_CHANGE;MIG_INT_NET;MIG_EXT_NET;MIG_MOV_NET;POP_CHANGE
AT13;91800;91800;2007;2007;69;86;453;-446;162
AT13;91800;91800;2008;2008;54;22;391;-329;138
AT13;91800;91800;2009;2009;80;217;158;-384;71
AT13;91800;91800;2010;2010;36;220;57;-441;-128
AT13;91800;91800;2011;2011;105;104;337;-492;54
AT13;91800;91800;2012;2012;15;169;559;-193;550
AT13;91800;91800;2013;2013;55;84;553;-490;202
AT13;91800;91800;2014;2014;147;185;848;-373;807
AT13;91800;91800;2015;2015;93;195;995;-192;1091
AT13;91800;91800;2016;2016;128;245;354;113;840
AT13;91800;91800;2017;2017;139;21;625;-267;518
AT13;91800;91800;2018;2018;146;-26;225;-396;-51
AT13;91800;91800;2019;2019;61;38;387;-553;-67
AT13;91800;91800;2020;2020;52;5;288;-508;-163
AT13;91800;91800;2021;2021;-14;-134;221;-529;-456
AT13;91800;91800;2022;2022;73;-84;1355;-636;708
AT13;91900;91900;2002;2002;-343;1;449;521;628
AT13;91900;91900;2003;2003;-308;-99;407;385;385
AT13;91900;91900;2004;2004;-321;-169;536;345;391
AT13;91900;91900;2005;2005;-368;-42;592;216;398
AT13;91900;91900;2006;2006;-326;-173;560;341;402
AT13;91900;91900;2007;2007;-307;-72;451;153;225
AT13;91900;91900;2008;2008;-265;-273;258;154;-126
AT13;91900;91900;2009;2009;-333;10;265;91;33
AT13;91900;91900;2010;2010;-303;34;289;182;202
AT13;91900;91900;2011;2011;-219;-16;306;307;378
AT13;91900;91900;2012;2012;-286;-29;578;173;436
AT13;91900;91900;2013;2013;-296;-72;553;168;353
AT13;91900;91900;2014;2014;-260;-86;695;386;735
AT13;91900;91900;2015;2015;-197;73;1.319;415;1610
AT13;91900;91900;2016;2016;-179;-227;652;262;508
AT13;91900;91900;2017;2017;-219;8;388;338;515
AT13;91900;91900;2018;2018;-273;-198;434;351;314
AT13;91900;91900;2019;2019;-267;46;434;743;956
AT13;91900;91900;2020;2020;-413;-236;344;277;-28
AT13;91900;91900;2021;2021;-392;-243;491;169;25
AT13;91900;91900;2022;2022;-478;-190;2494;-168;1658
AT13;92000;92000;2002;2002;124;247;1863;-351;1.883
AT13;92000;92000;2003;2003;147;70;1468;-1.081;604
AT13;92000;92000;2004;2004;248;-135;1683;-562;1.234
AT13;92000;92000;2005;2005;267;-93;1296;-1.045;425
AT13;92000;92000;2006;2006;311;26;341;-267;411
AT13;92000;92000;2007;2007;289;-33;464;-677;43
AT13;92000;92000;2008;2008;262;73;553;-554;334
AT13;92000;92000;2009;2009;233;203;210;-533;113
AT13;92000;92000;2010;2010;282;256;688;-371;855
AT13;92000;92000;2011;2011;323;245;491;-670;389
AT13;92000;92000;2012;2012;237;155;1355;-1.148;599
AT13;92000;92000;2013;2013;239;92;1.125;-1.181;275
AT13;92000;92000;2014;2014;255;223;1.527;-828;1.177
AT13;92000;92000;2015;2015;289;146;1425;-1.606;254
AT13;92000;92000;2016;2016;347;164;1340;-814;1.037
AT13;92000;92000;2017;2017;340;70;1051;-1.108;353
AT13;92000;92000;2018;2018;201;-196;559;-1.265;-701
AT13;92000;92000;2019;2019;260;-136;1036;-1.299;-139
AT13;92000;92000;2020;2020;40;-71;605;-1.665;-1.091
AT13;92000;92000;2021;2021;21;80;665;-1.547;-781
AT13;92000;92000;2022;2022;89;393;2395;-1640;1237
AT13;92100;92100;2002;2002;41;-538;1004;1.658;2.165
AT13;92100;92100;2003;2003;-70;-730;980;1.685;1.865
AT13;92100;92100;2004;2004;0;-965;827;1.179;1.041
AT13;92100;92100;2005;2005;34;-948;831;1.702;1.619
AT13;92100;92100;2006;2006;-5;-850;439;1.134;718
AT13;92100;92100;2007;2007;-60;-720;504;1.637;1.361
AT13;92100;92100;2008;2008;46;-646;303;1.123;826
AT13;92100;92100;2009;2009;-60;-445;273;1.364;1.132
AT13;92100;92100;2010;2010;33;-335;543;1.300;1.541
AT13;92100;92100;2011;2011;-35;-206;525;1.754;2.038
AT13;92100;92100;2012;2012;91;-483;649;1.983;2.240
AT13;92100;92100;2013;2013;151;-380;927;1.707;2.405
AT13;92100;92100;2014;2014;185;-317;1100;1.890;2.858
AT13;92100;92100;2015;2015;134;-302;1685;2.621;4.138
AT13;92100;92100;2016;2016;301;-603;970;2.032;2.700
AT13;92100;92100;2017;2017;453;-376;930;3.052;4.059
AT13;92100;92100;2018;2018;463;-981;578;2.875;2.935
AT13;92100;92100;2019;2019;376;-1001;599;2297;2271
AT13;92100;92100;2020;2020;307;-592;561;5698;5974
AT13;92100;92100;2021;2021;335;-663;520;4077;4269
AT13;92100;92100;2022;2022;408;-399;2354;3361;5724
AT13;92200;92200;2002;2002;391;-556;777;1.547;2.159
AT13;92200;92200;2003;2003;284;-839;678;1.993;2.116
AT13;92200;92200;2004;2004;410;-997;875;1.829;2117
AT13;92200;92200;2005;2005;343;-942;721;1.860;1982
AT13;92200;92200;2006;2006;371;-901;477;2200;2147
AT13;92200;92200;2007;2007;307;-1072;444;2.242;1.921
AT13;92200;92200;2008;2008;292;-767;309;2.347;2.181
AT13;92200;92200;2009;2009;171;-326;310;2.214;2369
AT13;92200;92200;2010;2010;234;-218;313;2551;2880
AT13;92200;92200;2011;2011;312;-365;592;2978;3517
AT13;92200;92200;2012;2012;344;-160;632;2.487;3.303
