FID,SHAPE,BEZNR,ZBEZNR,ZGEBNR,BEZ,ZBEZ,ZGEB,FLAECHE,UMFANG,AKT_TIMESTAMP,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ZAEHLGEBIETOGD.1140560,"POLYGON ((16.28265240783644 48.15212591502574, 16.284727527020937 48.154657924516634, 16.285053317039967 48.1549337129958, 16.285197355774546 48.15511301250978, 16.28509070267103 48.155183742236055, 16.285239581542093 48.15536232437423, 16.28524857605383 48.155373120262844, 16.28519250896652 48.155393330303994, 16.28499515068335 48.1554445943241, 16.284761790342912 48.15547668630061, 16.282127307103913 48.15598476883839, 16.28207178575382 48.15599544475614, 16.28192484983962 48.15602289503076, 16.281831690029776 48.156037690001334, 16.281774558804724 48.156045397240334, 16.28173181198709 48.156050413271906, 16.281686108866413 48.156054798361126, 16.281538250018034 48.1560649806464, 16.28134334941186 48.15607433096723, 16.280460241113442 48.1561222909776, 16.280223536253875 48.15613449701628, 16.279328994401325 48.15618864813016, 16.279287221016446 48.156163806111536, 16.279272189550852 48.15602188505092, 16.27924262883044 48.15589209770554, 16.27919534220204 48.155748182164345, 16.278404931315816 48.15415813957952, 16.278329793024074 48.15404487669241, 16.278858540661595 48.15379413903909, 16.278922419939327 48.15375936687857, 16.27973328087208 48.153374765434755, 16.279902967096994 48.15330784863709, 16.28069270171399 48.15293366226095, 16.28086737660984 48.1528493894366, 16.28159753216882 48.15250043927003, 16.28173387949055 48.15243629187233, 16.282442643810683 48.1520973087274, 16.28250341789001 48.15207170624975, 16.28257078809896 48.152035764553474, 16.28265240783644 48.15212591502574))",23,9,4,23,2309,23094,142042.2015,1519.59,2021-07-23,1140560,
ZAEHLGEBIETOGD.1140561,"POLYGON ((16.28790811682695 48.154592570744676, 16.287926755594757 48.154638893848194, 16.28790737060186 48.15467189100043, 16.286274072193727 48.15511402344861, 16.28626479704343 48.155115278487926, 16.28607673998812 48.15514064780444, 16.286050523171493 48.155148730337395, 16.285896183830367 48.155192280408336, 16.285796966579714 48.155219216853276, 16.285239581542093 48.15536232437423, 16.28509070267103 48.155183742236055, 16.285197355774546 48.15511301250978, 16.285053317039967 48.1549337129958, 16.284727527020937 48.154657924516634, 16.285032301698852 48.15457568192618, 16.285690929774997 48.15438612463076, 16.28582119007325 48.15436171995754, 16.285753378779532 48.15429810793888, 16.28540615679452 48.15381249914868, 16.285592882066204 48.15377004313934, 16.286921872266813 48.153598307966774, 16.28688314383705 48.15347958032852, 16.286870406982988 48.15344692933247, 16.28667764471351 48.15249958615631, 16.286690036585526 48.15247117276109, 16.28672526331958 48.152456079198835, 16.28658198614484 48.15176632407484, 16.286571423499087 48.15170948208521, 16.286606755801444 48.1514441059947, 16.28662329850671 48.15143152253655, 16.286673453714215 48.15140465422695, 16.286695898476804 48.15140385447323, 16.286699492785115 48.1512995341207, 16.28672052862614 48.15108604298935, 16.286585655834617 48.150465179746796, 16.286577209670728 48.15044377213291, 16.286525945074107 48.150367487138865, 16.28644328884605 48.15023309206092, 16.286314320311348 48.15004444747714, 16.286311907955085 48.15003752161613, 16.286314481730628 48.15001647848052, 16.286313547855794 48.150009373393864, 16.286309523412076 48.15000181730629, 16.286043386364124 48.149629920066374, 16.286034118838565 48.1496243402066, 16.286013025129062 48.149618575332646, 16.286006713499173 48.149613716219044, 16.286003086531075 48.14961209585123, 16.285917595008087 48.14949379709563, 16.285842026003305 48.149398795178264, 16.285867299983313 48.149389902879065, 16.28724361377742 48.14893669515478, 16.28788995006188 48.14872805412555, 16.28891899748264 48.14839411089769, 16.28892828494225 48.148378016749895, 16.289011239431414 48.14848399146869, 16.289115668588895 48.14862037215371, 16.289185302969173 48.14874441777664, 16.28924161146662 48.14889238002837, 16.28943074441304 48.14883921673835, 16.28946461949674 48.14882906807799, 16.289532313947138 48.148870374609565, 16.289634645167716 48.14895117555241, 16.28975537068349 48.149051229412485, 16.28988611133195 48.14922323332902, 16.29000851086597 48.149406205539684, 16.29005104181941 48.1494852734114, 16.29016961025197 48.14959530849277, 16.29021794563216 48.14964604981817, 16.29046519112926 48.149986993051726, 16.290526394235567 48.150076770133644, 16.29059889417891 48.150157828178905, 16.291668849484047 48.1513336664195, 16.29208855818988 48.151813708421166, 16.2921143337773 48.151847083294406, 16.292160031201526 48.15184395311107, 16.292190268143084 48.15184657270099, 16.292215664369756 48.15185206828196, 16.292236086636375 48.15185909081651, 16.292578762183762 48.152059860699005, 16.292651410890944 48.15213102488516, 16.2927929456293 48.1522735315662, 16.292875655740822 48.15236736242256, 16.292814452902267 48.15242912314706, 16.292996006014917 48.15261175457882, 16.29349451119459 48.153073024905716, 16.294125225412227 48.15359594518872, 16.294264765822675 48.15372172182353, 16.2944183054088 48.15382187255863, 16.29552155764815 48.15473814070576, 16.294796428397362 48.154595789187425, 16.29422489191835 48.15449530775434, 16.294219680604648 48.154457893888484, 16.29415235936173 48.15443979291067, 16.294096051441866 48.15443122877171, 16.293867202349418 48.15438321092148, 16.29277128511749 48.154218046912746, 16.29207328545489 48.15411615809479, 16.291834181358002 48.15411903413534, 16.29173539951679 48.15411458939233, 16.291534616845784 48.154098054131815, 16.29151960271703 48.154208395645405, 16.291037012775853 48.154305514754014, 16.290638718259583 48.154372537743676, 16.29015535174566 48.154432600602085, 16.289944580622535 48.15446282353848, 16.289769948668834 48.15450978811297, 16.289611299521827 48.15456880985146, 16.289384632109563 48.154638505755464, 16.289128550406737 48.15468543625541, 16.288827070446068 48.15469889260787, 16.288231267718785 48.15468893354596, 16.288156004153564 48.15468620422945, 16.288150227138356 48.15468368370874, 16.288014312934312 48.154573999125155, 16.28790811682695 48.154592570744676))",23,9,7,23,2309,23097,278637.7233,2829.26,2022-11-09,1140561,
ZAEHLGEBIETOGD.1140562,"POLYGON ((16.385075154808103 48.21681237145434, 16.384897323450108 48.21688097505083, 16.384479395863096 48.217061644638946, 16.384344989351586 48.21708913032256, 16.383518092290572 48.217398839492404, 16.383530501378704 48.21743004064341, 16.38329975915193 48.217475371307955, 16.383173962454055 48.217501952765666, 16.381739158833778 48.21776090543796, 16.381621027855545 48.217783884883794, 16.380933356899614 48.217910059656624, 16.38092702102056 48.21758936596511, 16.38091725124978 48.21749683013544, 16.380914271689555 48.217166962083915, 16.380973337781565 48.21715677674639, 16.380972797703564 48.217154708529904, 16.38111810762552 48.21712893121652, 16.381119321017994 48.21713153875824, 16.3811779835645 48.21712162326861, 16.381309284691614 48.217080382970245, 16.381052459102023 48.216691349592914, 16.380573600692163 48.215831429767526, 16.38048883431311 48.2156860430781, 16.38224821100889 48.21579254813477, 16.38243702365747 48.21581459529942, 16.383260330450213 48.21586498163819, 16.383603047892652 48.21584712386746, 16.383846557621744 48.215792704177005, 16.385075154808103 48.21681237145434))",2,4,5,2,204,2045,52227.5727,1014.98,2018-09-27,1140562,
ZAEHLGEBIETOGD.1140563,"POLYGON ((16.321136680182924 48.217217285352156, 16.321156443659543 48.21727907094353, 16.32095795034544 48.21730035885364, 16.32000598720628 48.217403651315436, 16.319990263052063 48.21733880841654, 16.319723949761304 48.217351091539356, 16.319079068064603 48.217451991369636, 16.318873035217543 48.217479839575184, 16.318166785499958 48.21758531161392, 16.317971918106494 48.217620804128366, 16.317154101190592 48.21774252996994, 16.31695533181182 48.217773163811515, 16.316223098753422 48.217887792612466, 16.315796463460654 48.21665313683554, 16.315736382614098 48.2164759609036, 16.316481918465936 48.216361607235086, 16.31668310483293 48.21633097461189, 16.317500092507906 48.21621060093252, 16.31770625126591 48.21619480604204, 16.318435200860158 48.216157328613164, 16.318635299962644 48.21615259272059, 16.31932508953092 48.216116632548854, 16.31957941984947 48.21610569760617, 16.319589504483343 48.216129710800324, 16.320649615963216 48.216088129413826, 16.320863711652958 48.21607538760036, 16.320885892857802 48.21614958413722, 16.320881586739677 48.21614976343243, 16.32078120023523 48.21615433665755, 16.320804189811444 48.21622493605071, 16.320860120319796 48.21638861904658, 16.32102750970547 48.21688164628626, 16.321136680182924 48.217217285352156))",16,5,7,16,1605,16057,56613.1536,1073.13,2018-03-16,1140563,
ZAEHLGEBIETOGD.1140565,"POLYGON ((16.241659084901997 48.201898569213114, 16.24179715104381 48.20187610958589, 16.242374973338283 48.2017869197694, 16.242445215465995 48.20177645495198, 16.242447654805794 48.2017666543623, 16.242494750936572 48.20176021760196, 16.242519761273027 48.20176662311624, 16.242665351839936 48.20174875509365, 16.24274715906225 48.20174054778263, 16.24282883124239 48.20173261009954, 16.24291063759787 48.20172485233089, 16.242992443765825 48.20171718443579, 16.243074384110518 48.20170969645476, 16.24315632410618 48.20170238827881, 16.243238263753707 48.201695259907964, 16.243320202891617 48.201688401273934, 16.243402276534205 48.201681542689926, 16.243484215142413 48.20167495373425, 16.243566422458784 48.20166854480014, 16.24364849490485 48.201662315562594, 16.243730567169468 48.20165617619819, 16.243812773456593 48.20165030667843, 16.2438949795637 48.2016445270316, 16.243977185330067 48.20163892718949, 16.244059390595524 48.20163359708386, 16.24414159568313 48.20162835685122, 16.24422393495889 48.20162329653074, 16.244306273897344 48.20161841601481, 16.244388612499346 48.20161371530341, 16.244603197943558 48.20160489300498, 16.244684056068454 48.20160055063189, 16.244831776279764 48.20159482236314, 16.245434227001923 48.201571376918764, 16.245716212546352 48.20156098687478, 16.24649880248476 48.201532191411694, 16.24649968954892 48.20140916527522, 16.24650068922583 48.201375891253626, 16.24650357037879 48.20134369788007, 16.24650928001189 48.201309528207645, 16.246517545933674 48.20127518066179, 16.24652458231188 48.20125162398504, 16.24655363669522 48.20117619374665, 16.24655822997452 48.201165045767205, 16.24657280864984 48.201136368839904, 16.246589270501925 48.20110778330799, 16.24660626699095 48.20108117669127, 16.247132259327003 48.20123707696931, 16.247231621765263 48.201267101098665, 16.247332332680323 48.20129532754471, 16.247434123167846 48.20132166616479, 16.247503509362478 48.201338536892074, 16.247573435099053 48.20135459860567, 16.247643901458016 48.2013692217821, 16.247751894191317 48.20138756095134, 16.247843214608185 48.2014007611104, 16.24785169065657 48.20140022802207, 16.247906986292495 48.201397032882724, 16.247953806183816 48.20139419094972, 16.247990670395755 48.20139179103172, 16.248096289716678 48.201382159240886, 16.24842068210469 48.201352549574246, 16.248432522046553 48.201351569347665, 16.24844261315493 48.201350587787175, 16.24856828197984 48.201337823223334, 16.24873014209 48.20132274778754, 16.24887142107623 48.201306847131605, 16.248999244229015 48.20129282468377, 16.249011891756 48.20129157521335, 16.249050238518773 48.20128746737199, 16.249051853281074 48.20128719879828, 16.249188836227745 48.20126598851942, 16.249359331805227 48.20123536050423, 16.24940683653229 48.20122514408049, 16.249510727776713 48.20120282929049, 16.249677870407364 48.201165903045975, 16.24986533558348 48.201123326085856, 16.250050790704215 48.20107589099375, 16.250268550349226 48.20101714829216, 16.250357509908685 48.200994012206706, 16.250358452031506 48.200993743113244, 16.250426554796913 48.20097382897444, 16.250498291620136 48.2009527483849, 16.250613638109655 48.20091740099608, 16.250657380840327 48.20090403364283, 16.25080867286849 48.20085198541884, 16.25094489385955 48.200802354000814, 16.251034408994272 48.20076824611018, 16.251175077898885 48.2007131318619, 16.25128923433158 48.20066465285753, 16.251339581533983 48.20064328617406, 16.251415504645045 48.200611955858754, 16.251498700078386 48.2005756845872, 16.251527242160964 48.20056167619839, 16.251554303433913 48.2005482962374, 16.251577729453455 48.200536802168976, 16.25246212465403 48.200100829190504, 16.252974800510703 48.1998447149919, 16.253541042973612 48.19956849220409, 16.25388555005919 48.19940119577459, 16.25392109107972 48.1993839542416, 16.2544360293527 48.19913413034808, 16.254469147505347 48.19911760638023, 16.254482475529432 48.199110960874954, 16.254572271666095 48.19906596865665, 16.25461494832043 48.19904459509661, 16.25462337730699 48.19907346921565, 16.254908113933016 48.19935551719086, 16.25497391087126 48.19943038697121, 16.25513024217457 48.19958967661415, 16.255171364557 48.19961578580838, 16.255223683786053 48.1996218480428, 16.25526378422855 48.1996135125608, 16.25543264286844 48.19976300801097, 16.255429627233738 48.19979879879851, 16.255433735881528 48.199838011994586, 16.255453702870657 48.199886948955765, 16.25627726339373 48.200655721730314, 16.25635573798455 48.200712073527114, 16.25641112129689 48.20073828208949, 16.256475632944703 48.20077699747784, 16.256551805440388 48.20084341991871, 16.256692435430633 48.20098399070354, 16.256821461255733 48.20114775574473, 16.25685937529851 48.2011620810386, 16.256989650071805 48.2013890688649, 16.257226214639267 48.20187081655613, 16.256918050245336 48.20184659303976, 16.256724650880074 48.20190095847633, 16.2567418363353 48.20192300364408, 16.256217963375516 48.202111408069754, 16.25617903802195 48.20205499374479, 16.255620741432956 48.20231720559448, 16.255587842875986 48.20227833200339, 16.255003151928094 48.2025540121492, 16.25494307712389 48.20260145381029, 16.25496294254994 48.202629886294865, 16.25495870429966 48.20267287073947, 16.254873864001446 48.202727849169165, 16.2548195736374 48.202775294848585, 16.25468490881753 48.20286072482545, 16.254258699573512 48.20312617104989, 16.2541406936073 48.20322483221878, 16.253580621086137 48.203573277496936, 16.253390894653773 48.203679800421234, 16.253014536066917 48.20380813175524, 16.251936524534806 48.20389323300389, 16.251394350676186 48.203898141024695, 16.25056280685179 48.20381649709984, 16.25007523250702 48.20375372080071, 16.24881781906508 48.2036403587636, 16.248708819865882 48.203657093263224, 16.248498710229455 48.20364002625699, 16.248507935768313 48.203594617694506, 16.248352982045912 48.203578941385985, 16.245127456795476 48.203272016296935, 16.245059071783103 48.20344840850613, 16.24458566869914 48.203441377889284, 16.24445478519221 48.20343273015864, 16.244342568312057 48.20344271306615, 16.24405990256984 48.20345139048975, 16.24371829011903 48.20347225062452, 16.24177905983235 48.20367086513046, 16.241775465929578 48.20364990806036, 16.239977904971 48.20398116782146, 16.239411290140865 48.204104619018686, 16.239033807302803 48.204238209616086, 16.23844729056358 48.20449581757763, 16.237656591270998 48.20472887643806, 16.23724421780386 48.20481170972153, 16.23698991976476 48.204825790049206, 16.236734585819377 48.20481891480036, 16.236628468956823 48.204802815212, 16.236250730184146 48.204784771351434, 16.236044080367346 48.20478701993653, 16.235974132377383 48.20478183295392, 16.2359155165156 48.20462260255061, 16.235843420265105 48.204546367458796, 16.235814025117953 48.20444265041349, 16.23582496111995 48.20442278500936, 16.235840114667973 48.20437882154496, 16.23579521987009 48.2042896599402, 16.235737501039953 48.20422279022687, 16.23562189993791 48.2041040691876, 16.235661101873575 48.20407703393794, 16.235677130593892 48.204067155429385, 16.235703665678642 48.20405072106407, 16.236097301427453 48.203847098523426, 16.23652879718569 48.20361266078055, 16.237230527579474 48.20325623660604, 16.237752431272767 48.20301458744288, 16.238144884756323 48.20285817107995, 16.238603978256297 48.20267519004331, 16.238768482762218 48.20261723337156, 16.239008094706946 48.202537756236644, 16.239637918322405 48.202344393019835, 16.23968556879596 48.20232977407457, 16.240638227531605 48.20207830973136, 16.241645415198544 48.20187022944456, 16.241659084901997 48.201898569213114))",14,10,3,14,1410,14103,392831.734,3806.16,2020-08-06,1140565,
ZAEHLGEBIETOGD.1140566,"POLYGON ((16.343213757699576 48.20439295557243, 16.34322651833359 48.20424924371022, 16.34326305127012 48.20286240246737, 16.343287113106182 48.20272759310437, 16.34329103142923 48.20189329496501, 16.343333789381315 48.201740228220665, 16.344567936136325 48.20172800262146, 16.34461475664897 48.201759205503166, 16.344761124197568 48.20177304401625, 16.344863492131694 48.20173211721404, 16.34491221659825 48.201881580238506, 16.34512530939747 48.2018916359872, 16.345120748728313 48.20196672945762, 16.34506169175947 48.201969881716515, 16.345064292977263 48.20222753630949, 16.345113530534636 48.20222915121261, 16.34511409873907 48.20239975191169, 16.345071319002493 48.20240164384502, 16.3450729638532 48.20257539206978, 16.345111035426566 48.20257466962118, 16.345109851715794 48.202728093463485, 16.345075297568414 48.20284141031871, 16.34508832454507 48.20424371653266, 16.345085118848402 48.20437510719047, 16.344979644467625 48.20437529529338, 16.34478726175057 48.20437800802725, 16.343213757699576 48.20439295557243))",7,4,3,7,704,7043,39603.0255,873.8,2018-03-16,1140566,
ZAEHLGEBIETOGD.1140564,"POLYGON ((16.374664716462778 48.21414437965083, 16.374560277690115 48.214296129418585, 16.374362957543266 48.21458226799412, 16.374175582374857 48.214854463510925, 16.373738052100986 48.21548979509118, 16.373699473593636 48.21554574522079, 16.37361357912455 48.215670508521065, 16.37360753028962 48.21567941373086, 16.373601346955063 48.21568840891593, 16.373595163552586 48.21569731416897, 16.373588980147975 48.215706219421726, 16.37358266217784 48.21571512471804, 16.373576344139813 48.215723940082334, 16.37356989160192 48.21573284542186, 16.373563573559505 48.21574166078543, 16.37355698638803 48.21575047623646, 16.373550533777752 48.2157592916432, 16.373543946601764 48.21576810709346, 16.373537359423516 48.21577692254334, 16.373530637613822 48.215785648105026, 16.373523915801844 48.21579437366633, 16.373517193987585 48.21580309922724, 16.37351316088481 48.21580831657723, 16.373510337607428 48.21581182483155, 16.37350348122493 48.21582055043547, 16.37349662477453 48.21582918610732, 16.37348963382369 48.21583791175421, 16.373482642804948 48.215846547469006, 16.37347565178383 48.21585518318341, 16.3734685261311 48.21586372900949, 16.3734614005415 48.21587236476678, 16.373454274883997 48.215880910591984, 16.37344701466031 48.21588945646051, 16.373439754434205 48.21589800232855, 16.37343235964182 48.21590654823987, 16.37342496484697 48.215915094150695, 16.373417569984234 48.21592355012943, 16.373410175119034 48.215932006107636, 16.373402645687467 48.21594046212911, 16.37339511625342 48.215948918150055, 16.37338745225288 48.21595737421421, 16.37337978818445 48.2159657403462, 16.373372124113526 48.21597410647769, 16.373364325476036 48.215982472652314, 16.373356526836 48.2159908388264, 16.373348728128114 48.21599911506832, 16.373340929417715 48.216007391309674, 16.37333299620593 48.216015757525774, 16.37332492829683 48.21602394392168, 16.37331699501463 48.216032220205044, 16.373308927100403 48.21604040659979, 16.373300859248832 48.21604868292561, 16.37329265676519 48.21605686936281, 16.37328445421372 48.2160649658678, 16.373276251724857 48.2160731523038, 16.373267914603886 48.21608124885114, 16.373259712044618 48.21608934535431, 16.37325124035403 48.21609744194398, 16.373242903225158 48.216105538489465, 16.37323443146414 48.21611354514624, 16.37322595970048 48.216121551802374, 16.373217353369707 48.21612955850139, 16.373208747036273 48.21613756519973, 16.373200140700146 48.216145571897435, 16.37319153429629 48.21615348866285, 16.373182793325253 48.21616140547104, 16.373174052351505 48.216169322278596, 16.373164100943832 48.216178138792685, 16.373154149532727 48.21618695530588, 16.37314419811823 48.21619577181817, 16.37313411207071 48.2162044984414, 16.3726318023499 48.216610700724026, 16.372440014562063 48.21675600118059, 16.372392943414585 48.21679414708293, 16.37162995552092 48.21738056010065, 16.37162699652613 48.217382719375316, 16.37157911374437 48.21741645854172, 16.37140950607434 48.217536119889516, 16.37134346513443 48.217582724761954, 16.371246224426987 48.217658836723416, 16.370841721772607 48.2174753194602, 16.37059995992311 48.21735983022271, 16.372187764365666 48.215886981335196, 16.371838051432846 48.21572044736959, 16.3722913606577 48.21528962267261, 16.372391518912696 48.21516152837286, 16.371867160521777 48.2148179740938, 16.37286860727061 48.21412779189905, 16.373016682386858 48.21402414309112, 16.372738530657603 48.21381010485164, 16.373172037051713 48.213567509879226, 16.373375944100033 48.21345395007255, 16.373903517773226 48.21378355708255, 16.374664716462778 48.21414437965083))",1,5,9,1,105,1059,48403.7238,1230.87,2019-01-04,1140564,
ZAEHLGEBIETOGD.1140567,"POLYGON ((16.365932149167755 48.19967776505416, 16.36579960432795 48.19960648342632, 16.365697605462344 48.19955138151524, 16.36539187875705 48.199385265779846, 16.36494096186301 48.199139326264415, 16.364371771512026 48.19882938264052, 16.36372494818045 48.198477186891324, 16.36366009038867 48.198439970668495, 16.36381851265775 48.198365738676934, 16.36454592397073 48.197769132128236, 16.364670022883843 48.19766190243593, 16.36550389140773 48.19696328037458, 16.36547387279114 48.196924977051246, 16.36568404821472 48.19680315521123, 16.36579750663702 48.19691239322924, 16.365718854809515 48.19697986251344, 16.365984637912405 48.19718124117774, 16.36605308112879 48.19713868552734, 16.366174615562027 48.197254036431126, 16.366019294551823 48.19732926012704, 16.365939680840953 48.197362465738614, 16.3663746397427 48.19839432076955, 16.366428256222154 48.198526776339264, 16.36666116423621 48.19907359056063, 16.366660491690833 48.199073680671624, 16.36664704131838 48.19907638220934, 16.36672261772143 48.19926198153969, 16.366741044905236 48.19925846927758, 16.36676960228908 48.199323842150044, 16.366835062789857 48.199463309032176, 16.366969135185727 48.199835860938215, 16.36700535058462 48.199884054692646, 16.367039027759592 48.19996147698716, 16.367060600687154 48.200043309199245, 16.36708499143268 48.200113179703116, 16.367108435747852 48.20017504651777, 16.367020832868157 48.20012758610756, 16.366592626939028 48.19986662835406, 16.366553063203323 48.19984253710774, 16.366508791137232 48.199818267231336, 16.366378127269236 48.199745007271986, 16.366356866022386 48.19973341166287, 16.366298060743887 48.19970051207212, 16.366205211876867 48.19965098398277, 16.36618152874499 48.19963839972526, 16.366162555185472 48.19962806252715, 16.3661228587876 48.19960648925987, 16.36596555362651 48.19952082519113, 16.365932149167755 48.19967776505416))",4,1,0,4,401,4010,38636.3719,1012.66,2018-03-16,1140567,
ZAEHLGEBIETOGD.1140568,"POLYGON ((16.45266340457727 48.26268044522346, 16.453244440085385 48.26250251073296, 16.45586351599727 48.261682159568906, 16.456126135380384 48.261503462635076, 16.456336408881683 48.26180433169251, 16.457085085003364 48.26287381421886, 16.45726782282402 48.262916968443285, 16.45931487621356 48.26227646258534, 16.460339194429125 48.261957274276426, 16.460684398872836 48.26184952309645, 16.46086815096498 48.262143577844924, 16.46087409877653 48.26215247455216, 16.461512299679814 48.26212282225541, 16.46159849101525 48.2621748881319, 16.46167214628188 48.26216770314762, 16.46171496485042 48.26221801769122, 16.461762063439775 48.262256096931495, 16.461796329500263 48.26227890192544, 16.461833532852854 48.26229118177611, 16.46188486427373 48.26229778050621, 16.46192473354672 48.26229872611146, 16.46249402467362 48.262124714682756, 16.462596852404225 48.262095643805466, 16.463115017132292 48.26194515752454, 16.46333783913048 48.26191244602273, 16.46342124242681 48.261925933244974, 16.46405803101394 48.26176389002463, 16.46442182030853 48.261659164582184, 16.464485962365625 48.26167213294766, 16.464985606506275 48.26155169584759, 16.465747675373702 48.26135002302923, 16.465813589585405 48.261318203039146, 16.4665149604084 48.26113637841653, 16.46674727174105 48.261077209833175, 16.466987501667415 48.2610074199098, 16.467689424031498 48.26083386113309, 16.467892814902275 48.26126115991647, 16.468406005372447 48.26232337436679, 16.46937324136263 48.26431368748744, 16.470597084637802 48.26689534708521, 16.471268943812767 48.26821798159816, 16.471735215270982 48.26900792451657, 16.472732683110753 48.271176234438194, 16.472919671873523 48.27188718480509, 16.47297595735896 48.2723825465275, 16.472968338145336 48.27290901040231, 16.472891430632263 48.273469190806416, 16.472742297574086 48.27402343161625, 16.47280892673455 48.27405311948035, 16.47290012715302 48.27410256283532, 16.473163331712453 48.27419137069852, 16.47298290249598 48.274376843043655, 16.472772435011745 48.27446324712563, 16.472433865385813 48.27455537852318, 16.47242203825123 48.27456591444717, 16.472134633911672 48.274394487169225, 16.471756852006983 48.274127209737, 16.47127021888369 48.273705018458095, 16.471058004486114 48.27353745698294, 16.470823833040438 48.27336992084661, 16.470632628492574 48.273250446916045, 16.47042391724187 48.27313297160001, 16.47022090022697 48.27302897887592, 16.46979829851246 48.272820831756114, 16.469606106009483 48.27273409206142, 16.469394746849957 48.27263271555308, 16.469062973651177 48.27248642267304, 16.468692091281966 48.27232290723804, 16.468448377723963 48.27221104439576, 16.468254817624864 48.272114591483714, 16.46795264710358 48.27195261339476, 16.467726601763253 48.27184765342053, 16.467642574462367 48.27180773040128, 16.467295944692165 48.27164238407521, 16.46701252320175 48.27148766649882, 16.466903651985394 48.27142483887386, 16.466596721387766 48.271241818812896, 16.466427134649777 48.2711406591905, 16.46624297793288 48.271030792524414, 16.46604344203676 48.27091177000491, 16.465937940696637 48.270848847719684, 16.46574785007362 48.27073547965611, 16.465380217921194 48.27051619272503, 16.46518405890651 48.27039923331545, 16.464979668096426 48.270276077572156, 16.464897912002165 48.270226797186, 16.46468380885456 48.2700977163611, 16.464608933918434 48.270052654819246, 16.464508830862982 48.269992333173, 16.464263160977122 48.26984422148333, 16.46402464286325 48.26970050791709, 16.463823900023982 48.269579504385824, 16.46365324237013 48.269476633149836, 16.46360912786872 48.26945006256663, 16.463572433320305 48.269427980279914, 16.46322774821977 48.269220262050084, 16.462833825715652 48.26898282996832, 16.462669782458285 48.26888399685808, 16.462609210621835 48.26884746168532, 16.46244774354037 48.268755100441396, 16.46210320067485 48.268546749146104, 16.461703753023556 48.26830410323465, 16.461373376478377 48.268102569001954, 16.461352062355974 48.268089732116785, 16.461289603734865 48.26805202919908, 16.460856713795277 48.26779116077907, 16.460627792425175 48.2676531852786, 16.460506250123426 48.26757993330502, 16.460250081604286 48.26742552918615, 16.459834468790852 48.26717507021048, 16.459709691233204 48.26709984239278, 16.459605552923023 48.267037092655364, 16.459084864764232 48.266723162678836, 16.458854334202982 48.26658419610622, 16.4586099111865 48.26643688030416, 16.458546647344736 48.26639872709042, 16.458383294958594 48.26630024681174, 16.45770183505109 48.26588944603245, 16.457527837160907 48.265787648349026, 16.45741210876573 48.26571996265615, 16.457317152503837 48.26566448554338, 16.4570979712556 48.2655362951637, 16.456929090512773 48.265432962356726, 16.45691276927008 48.26542308711407, 16.456896447609672 48.26541303200774, 16.456739707854307 48.26531724035605, 16.456696400843065 48.26528733881261, 16.45664770298537 48.265256093942995, 16.45659509422611 48.265222784741816, 16.45649487407007 48.265161916609784, 16.456257336670273 48.26501575766285, 16.456204330236154 48.264984966762405, 16.456082795315833 48.26490946180174, 16.455819231547252 48.26474912002539, 16.455483639494567 48.26454388702071, 16.455142250072612 48.26433506179762, 16.45478159066342 48.26412103945915, 16.454454235817202 48.26392137064073, 16.454344855017535 48.263857542333874, 16.45395818190494 48.26363248265103, 16.453901939962936 48.26359917593417, 16.453765719102847 48.2635186474262, 16.453731055843768 48.263497639069634, 16.453257642371398 48.2632107932776, 16.452875813299865 48.262979429829315, 16.45271610394955 48.26275584382106, 16.45266340457727 48.26268044522346))",22,8,3,22,2208,22083,969895.9977,4954.79,2019-05-15,1140568,
ZAEHLGEBIETOGD.1140569,"POLYGON ((16.33574342053803 48.24062075255467, 16.335789329063818 48.240593593426894, 16.335785424983783 48.240564455689054, 16.336512957494477 48.24054197224619, 16.336522383289843 48.240737572700795, 16.33653786987297 48.24118426118509, 16.336546218327946 48.24132734177043, 16.336573690650013 48.24208060575175, 16.336577731033934 48.24221748107662, 16.336592546370802 48.242758237506294, 16.336599144972123 48.24290023888198, 16.33660870763613 48.24323091594296, 16.336399618711923 48.24324395679586, 16.33545609163692 48.243320217468316, 16.335256695830658 48.24333352608606, 16.334845113288956 48.2433690453414, 16.334392061972906 48.2434142751044, 16.33418956890523 48.2434273120331, 16.333044215033137 48.243509934586086, 16.333019628948175 48.24262357180551, 16.333014522201182 48.24246565242858, 16.33299249169271 48.24163684554546, 16.332987114813257 48.241496552657495, 16.332964804046618 48.240864964872905, 16.332988240334224 48.24068429359975, 16.333055014285044 48.240718019581045, 16.334472524161608 48.24066687687891, 16.334472120579363 48.240656984434686, 16.33462990571763 48.24065024164716, 16.334631117075716 48.24066112334469, 16.33574342053803 48.24062075255467))",19,8,4,19,1908,19084,80311.6,1150.39,2022-12-09,1140569,
